id,nome,nome_cientifico,rho_ap_kgm3,f_c0_m_MPa,f_c0_k_MPa,f_M_m_MPa,f_v0_m_MPa,E_c0_m_MPa,E_M0_m_MPa,classe_D,classe_historica_C,E_c0_classe_MPa,rho_classe_kgm3,f_mk_classe_MPa,f_v0k_classe_MPa,razao_E_M0_E_c0,desvio_E_vs_classe_pct
1,Angelim-amargoso,Votairea fusca,772.0,60.0,47.7,89.0,16.0,15940.0,14947.0,D40,C40,14500.0,750.0,40.0,6.0,0.9377,9.93
2,Angelim-araroba,Vataireopsis araroba,674.0,50.0,45.3,75.0,12.0,12587.0,11457.0,D40,C40,14500.0,750.0,40.0,6.0,0.9102,-13.19
3,Angelim-ferro,Hymenolobium sp,1163.0,82.0,71.0,134.0,19.4,21263.0,19938.0,D60,C60,19500.0,1000.0,60.0,8.0,0.9377,9.04
4,Angelim-pedra-verdadeiro,Dinizia excelsa,1131.0,78.0,72.7,110.0,18.9,16695.0,15215.0,D60,C60,19500.0,1000.0,60.0,8.0,0.9114,-14.38
5,Angelim-pedra,Hymenolobium petraeum,663.0,58.0,44.5,84.0,13.3,11990.0,10755.0,D40,C40,14500.0,750.0,40.0,6.0,0.897,-17.31
6,Angelim-saia,Votairea sp,764.0,63.0,51.1,110.0,14.6,24081.0,17561.0,D50,C40,16500.0,850.0,50.0,7.0,0.7292,45.95
7,Angico-preto,Piptadenia macrocarpa,888.0,73.0,55.6,120.0,24.5,15375.0,16498.0,D50,C40,16500.0,850.0,50.0,7.0,1.073,-6.82
8,Branquilho,Sebastiania commersoniana,810.0,49.0,45.6,83.0,16.0,13813.0,15490.0,D40,C40,14500.0,750.0,40.0,6.0,1.1214,-4.74
9,Cafearana,Andira stipulacea,678.0,58.0,42.4,95.0,10.2,14185.0,13982.0,D40,C40,14500.0,750.0,40.0,6.0,0.9857,-2.17
10,Canafístula,Cassia ferruginea,860.0,52.0,36.4,89.0,18.5,14613.0,14769.0,D30,C30,12000.0,625.0,30.0,5.0,1.0107,21.78
11,Casca-grossa,Ocotea odoriferar,788.0,57.0,44.5,107.0,13.4,17936.0,16802.0,D40,C40,14500.0,750.0,40.0,6.0,0.9368,23.7
12,Castelo,Calycophyllum multiflorum.,759.0,55.0,54.5,103.0,21.3,11105.0,11375.0,D50,C40,16500.0,850.0,50.0,7.0,1.0243,-32.7
13,Catanudo,Calophyllum sp,804.0,51.0,51.0,83.0,16.4,13029.0,14729.0,D50,C40,16500.0,850.0,50.0,7.0,1.1305,-21.04
14,Cedro-amargo,Cedrela odorata,514.0,38.0,30.4,62.0,10.2,9601.0,9176.0,D30,C30,12000.0,625.0,30.0,5.0,0.9557,-19.99
15,Cedro-doce,Cedrella sp,512.0,33.0,27.9,58.0,9.4,8358.0,8866.0,D20,C20,10000.0,500.0,20.0,4.0,1.0608,-16.42
16,Cedrorana,Cedrelinga catenaeformis,566.0,41.0,28.9,61.0,11.9,10252.0,10032.0,D20,C20,10000.0,500.0,20.0,4.0,0.9785,2.52
17,Champanhe,Dipteryx odorata,1090.0,93.0,96.2,165.0,17.8,23002.0,25174.0,D60,C60,19500.0,1000.0,60.0,8.0,1.0944,17.96
18,Copaíba,Copaifera cf. ret,695.0,50.0,44.1,87.0,14.6,14012.0,13572.0,D40,C40,14500.0,750.0,40.0,6.0,0.9686,-3.37
19,Cupiúba,Goupia glabra.,839.0,54.0,39.9,79.0,17.1,14125.0,13148.0,D30,C30,12000.0,625.0,30.0,5.0,0.9308,17.71
20,Cutiúba,Goupia paraensis,1152.0,79.0,55.3,127.0,17.9,18238.0,16984.0,D50,C40,16500.0,850.0,50.0,7.0,0.9312,10.53
21,Garapa,Apuleia leiocarpa,920.0,73.0,65.4,119.0,19.6,17718.0,16923.0,D60,C60,19500.0,1000.0,60.0,8.0,0.9551,-9.14
22,Goiabão,Planchonella pachycarpa,938.0,49.0,43.1,107.0,14.1,18717.0,18367.0,D40,C40,14500.0,750.0,40.0,6.0,0.9813,29.08
23,Guaiçara,Luetzelburgia sp,995.0,66.0,58.9,112.0,19.0,14027.0,13866.0,D50,C40,16500.0,850.0,50.0,7.0,0.9885,-14.99
