geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.7914742055608575,11,50
2,0.846120973426622,20,100
3,0.873479417970845,28,150
4,0.8838458583370492,36,200
5,0.8954205059637786,45,250
6,0.9015252732086577,50,300
7,0.910733557018034,50,350
8,0.91565632290855,50,400
9,0.91760321409179,50,450
10,0.9182769364526535,50,500
11,0.9202302562173204,50,550
12,0.9243011010644585,50,600
13,0.9263740829374414,50,650
14,0.9278255051464457,50,700
15,0.9291005992748108,50,750
16,0.9294059207881709,50,800
17,0.9316734719466502,50,850
18,0.9342795491326015,50,900
19,0.9361810771523903,50,950
20,0.9370409055583153,50,1000
21,0.9380341766237081,50,1050
22,0.9386160973601287,50,1100
23,0.9390058720436403,50,1150
24,0.9395303338296761,50,1200
25,0.9395928540256699,50,1250
26,0.9402674606054297,50,1300
27,0.9405999237409772,50,1350
28,0.9410471400621322,50,1400
29,0.9421312137471893,50,1450
30,0.9420473565180499,50,1500
31,0.9419512512728574,50,1550
32,0.9427059288690852,50,1600
33,0.9434390479836524,50,1650
34,0.9442838944197316,50,1700
35,0.9444203003690806,50,1750
36,0.9455922448936156,50,1800
37,0.9450643514411826,50,1850
38,0.9459793733136801,50,1900
39,0.9459777374673076,50,1950
40,0.9450180647237588,50,2000
41,0.9455614068926202,50,2050
42,0.9454451137195662,50,2100
43,0.9463146878276449,50,2150
44,0.9464421086326679,50,2200
45,0.946784153948891,50,2250
46,0.9467763613037543,50,2300
47,0.9464896264727527,50,2350
48,0.9453170337154607,50,2400
49,0.9459831467685992,50,2450
50,0.9464632459954067,50,2500
51,0.9457204470900941,50,2550
52,0.9457689019183231,50,2600
53,0.9462791650749706,50,2650
54,0.9469785382967613,50,2700
55,0.9473712479492978,50,2750
56,0.9471185004438016,50,2800
57,0.9480325543429122,50,2850
58,0.9477397177952194,50,2900
59,0.9474311478493171,50,2950
60,0.9472915986571623,50,3000
61,0.9476249669050969,50,3050
62,0.9478019772447281,50,3100
63,0.9476249466263209,50,3150
64,0.947963591809701,50,3200
65,0.948317243639586,50,3250
66,0.9490989785473253,50,3300
67,0.9486814527851186,50,3350
68,0.9491399711610352,50,3400
69,0.9480293539740842,50,3450
70,0.9478540893604807,50,3500
71,0.9480708142019518,50,3550
72,0.9478902020040813,50,3600
73,0.9490631704251207,50,3650
74,0.9489146115819395,50,3700
75,0.9486421027966524,50,3750
76,0.9490888047803864,50,3800
77,0.9500088264390191,50,3850
78,0.9501865800383346,50,3900
79,0.9501845602845201,50,3950
80,0.9503897973447875,50,4000
81,0.9509712750674106,50,4050
82,0.9509147223333968,50,4100
83,0.9507746323243406,50,4150
84,0.9506394504828903,50,4200
85,0.9506155273996202,50,4250
86,0.9505193198233385,50,4300
87,0.9504652910324369,50,4350
88,0.9497298439790621,50,4400
89,0.9491507971309122,50,4450
90,0.9494964052232377,50,4500
91,0.9498170799602526,50,4550
92,0.9493114629550284,50,4600
93,0.9501611479826736,50,4650
94,0.9500401443828183,50,4700
95,0.9502054495627545,50,4750
96,0.950001537342537,50,4800
97,0.9502219727013762,50,4850
98,0.9499180088451669,50,4900
99,0.949302941660453,50,4950
100,0.9493614484391754,50,5000
101,0.9493701524474019,50,5050
102,0.9502843643090382,50,5100
103,0.9510090581795694,50,5150
104,0.9510253294623247,50,5200
105,0.9512307582592157,50,5250
106,0.9510963613367761,50,5300
107,0.9512801239638947,50,5350
108,0.9514469878732802,50,5400
109,0.9516268173597157,50,5450
110,0.9513744556807369,50,5500
111,0.9513912253856304,50,5550
112,0.9511688715581956,50,5600
113,0.9508370602399132,50,5650
114,0.9520343103143726,50,5700
115,0.9519055567731095,50,5750
116,0.951088010594563,50,5800
117,0.9507774910842275,50,5850
118,0.9515438104368494,50,5900
119,0.9516558933030753,50,5950
120,0.9521247045839898,50,6000
121,0.9526373210584538,50,6050
122,0.9526184684125428,50,6100
123,0.9533199696096527,50,6150
124,0.9527594217716664,50,6200
125,0.9524054398260491,50,6250
126,0.9522022005525098,50,6300
127,0.951349218232424,50,6350
128,0.9512836679013649,50,6400
129,0.9510301453268819,50,6450
130,0.9508906683493086,50,6500
131,0.9507812333046645,50,6550
132,0.951001474968912,50,6600
133,0.9509815913913024,50,6650
134,0.9498997225695793,50,6700
135,0.9501827966162306,50,6750
136,0.9509322065269961,50,6800
137,0.9513847007776595,50,6850
138,0.9521917125978655,50,6900
139,0.9528758554277575,50,6950
140,0.9526792157766293,50,7000
141,0.9521182255999825,50,7050
142,0.9517720288059031,50,7100
143,0.9516722876044937,50,7150
144,0.951781654085008,50,7200
145,0.9522307327760438,50,7250
146,0.9517287285172125,50,7300
147,0.9519877790345215,50,7350
148,0.9525224602645596,50,7400
149,0.9526745042032351,50,7450
150,0.9530422296942688,50,7500
151,0.9532016678106764,50,7550
152,0.9527110102808491,50,7600
153,0.9519268560914186,50,7650
154,0.9518072294671354,50,7700
155,0.952363446103926,50,7750
156,0.9525289827161708,50,7800
157,0.9519348302567078,50,7850
158,0.9517129849529167,50,7900
159,0.9512945515870177,50,7950
160,0.9510710203536483,50,8000
161,0.9516144940067794,50,8050
162,0.9513490103161873,50,8100
163,0.9509777435340394,50,8150
164,0.951412568480426,50,8200
165,0.9515828402692249,50,8250
166,0.9514015753081055,50,8300
167,0.9517114616825655,50,8350
168,0.9522658497580188,50,8400
169,0.9521905360977164,50,8450
170,0.9516704378552499,50,8500
171,0.9521775395344422,50,8550
172,0.9533570264878332,50,8600
173,0.9525408842921232,50,8650
174,0.9524040163487139,50,8700
175,0.9528126709568931,50,8750
176,0.9528094156213572,50,8800
177,0.9534465960899696,50,8850
178,0.9524797190399533,50,8900
179,0.9525130923253929,50,8950
180,0.9529196996735029,50,9000
181,0.9528036104200138,50,9050
182,0.9527278041349496,50,9100
183,0.9524225053135097,50,9150
184,0.9525687603379491,50,9200
185,0.9533257094910353,50,9250
186,0.9519912442838594,50,9300
187,0.951780006301139,50,9350
188,0.9513647410932558,50,9400
189,0.9514489869392115,50,9450
190,0.9518250977746028,50,9500
191,0.9517703065305402,50,9550
192,0.9523733164323551,50,9600
193,0.9527364162288555,50,9650
194,0.9523592441742692,50,9700
195,0.9525146363287058,50,9750
196,0.9525931689906192,50,9800
197,0.9527173827095496,50,9850
198,0.9525991546603352,50,9900
199,0.9525502831009899,50,9950
200,0.9531744150147018,50,10000
201,0.9534388756118624,50,10050
202,0.9532992558692505,50,10100
203,0.9529145000056201,50,10150
204,0.9529583721393521,50,10200
205,0.9520827840495435,50,10250
206,0.9531117655166894,50,10300
207,0.953167750677111,50,10350
208,0.9531551856566892,50,10400
209,0.9531526539603773,50,10450
210,0.9531281327085105,50,10500
211,0.953127978581457,50,10550
212,0.9531539372193887,50,10600
213,0.9527234410865342,50,10650
214,0.9530926732990175,50,10700
215,0.9535351196750054,50,10750
216,0.9536456584036922,50,10800
217,0.9537503198066984,50,10850
218,0.953950619451205,50,10900
219,0.9534946754552743,50,10950
220,0.9535978862840183,50,11000
221,0.9528415685638859,50,11050
222,0.9531660020770579,50,11100
223,0.9537796261515322,50,11150
224,0.953843556746564,50,11200
225,0.9537471649837592,50,11250
226,0.9537285787783898,50,11300
227,0.9539468260631614,50,11350
228,0.9534164485389262,50,11400
229,0.9537185570926261,50,11450
230,0.9540632728140692,50,11500
231,0.9542276136479247,50,11550
232,0.9537402497357592,50,11600
233,0.9539291982134092,50,11650
234,0.9534906284114637,50,11700
235,0.9539943368263197,50,11750
236,0.9540616640797273,50,11800
237,0.9533353128148587,50,11850
238,0.9533770418114138,50,11900
239,0.9533421273437384,50,11950
240,0.9538433241157075,50,12000
241,0.9538916325732438,50,12050
242,0.9540301007541795,50,12100
243,0.9541515475848219,50,12150
244,0.9543113831469284,50,12200
245,0.9545464152466495,50,12250
246,0.9545396194078927,50,12300
247,0.9543636750767142,50,12350
248,0.9546818324353429,50,12400
249,0.9549711984783006,50,12450
250,0.9555895353562552,50,12500
251,0.9557699873462324,50,12550
252,0.9558622022282892,50,12600
253,0.9558400657514876,50,12650
254,0.9555160006269681,50,12700
255,0.9554525007091514,50,12750
256,0.955240934234898,50,12800
257,0.9553489666290518,50,12850
258,0.9552826218977482,50,12900
259,0.9552958606339654,50,12950
260,0.9549725278572624,50,13000
261,0.9549850018945241,50,13050
262,0.9544161903917242,50,13100
263,0.9542121630239848,50,13150
264,0.9546870103833829,50,13200
265,0.9546572050680069,50,13250
266,0.9552680778975426,50,13300
267,0.9549283700299334,50,13350
268,0.9553451558301702,50,13400
269,0.9552538386624064,50,13450
270,0.9549343683439859,50,13500
271,0.9541257482928465,50,13550
272,0.9542088004977891,50,13600
273,0.9530533050447657,50,13650
274,0.953009262754005,50,13700
275,0.9534952497426175,50,13750
276,0.954097834413303,50,13800
277,0.9541339077301193,50,13850
278,0.9543207804302993,50,13900
279,0.9540974626666991,50,13950
280,0.9541791371407782,50,14000
281,0.9541610733677436,50,14050
282,0.9541935960804413,50,14100
283,0.9536222632048776,50,14150
284,0.9533129283552335,50,14200
