id,bloco,especie_id,especie,classe,veiculo,vao_m,largura_m,p_gk_kpa,veiculo_tb450,p_roda_kn,E_mpa,f_mk_mpa,f_vk_mpa,densidade_kgm3,d_cm,bw_cm,h_cm,n_long,n_tab,esp_long_corr_cm,esp_tab_corr_cm,volume_m3,governante,flecha_ratio,d_no_teto,status,g_flexao_long,g_cisalhamento_long,g_flecha_long,g_flexao_tab,g_disposicao_long,g_disposicao_tab,split_especie,split_vao,split_aleatorio,avaliacoes,tempo_s
E01_L0030_TB240_B350_G010,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,0.1,0,40.0,15940,47.7,11.2,772,32.43729591369629,47.5,5.656890869140625,4.0,6.0,73.41693878173828,3.000000000000007,1.5559294233503456,flexao_tab,0.1891578181041783,False,ok,-0.010550825704831197,-0.6405780403945786,-0.44488541236467577,-3.4366990581155482e-06,-0.6976822992960612,-0.3999999999999986,treino,treino,treino,9675.0,0.7447485999946366
E01_L0030_TB240_B350_G050,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,0.5,0,40.0,15940,47.7,11.2,772,50.0,47.5,14.752426147460938,2.0,6.0,250.0,3.000000000000007,2.6496517533054007,flexao_tab,0.05339940956072462,False,ok,-0.7184307245215481,-0.8723975069972378,-0.8927833460639274,-8.175774715193344e-06,0.0,-0.3999999999999986,treino,treino,treino,9485.0,0.7393236999996589
E01_L0030_TB240_B350_G100,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,1.0,0,40.0,15940,47.7,11.2,772,32.58312225341797,27.5,7.421875,4.0,10.0,73.22250366210938,2.7777777777777777,1.7149463098100077,flexao_tab,0.2044517507813977,False,ok,-0.00812689805681554,-0.6384852566735845,-0.4360530489234293,-2.46441684189628e-06,-0.698421152750651,-0.3888888888888888,treino,treino,teste,9675.0,0.8836526999948546
E01_L0030_TB240_B350_G200,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,2.0,0,40.0,15940,47.7,11.2,772,32.75289535522461,35.0,6.577301025390625,4.0,8.0,72.99613952636719,2.85714285714286,1.655620586468638,flexao_tab,0.21737479706121332,False,ok,-0.0090245524252593,-0.6374353404659192,-0.4304788625518811,-2.365890192828075e-06,-0.6992813364664714,-0.42857142857142805,treino,treino,treino,9675.0,0.7426101000019116
E01_L0030_TB240_B350_G300,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,3.0,0,40.0,15940,47.7,11.2,772,50.0,47.5,14.962692260742188,2.0,6.0,250.0,3.000000000000007,2.6706257981052057,flexao_tab,0.0818771119663913,False,ok,-0.7036450720118519,-0.8631681438407727,-0.8812677061127575,-9.546402550335073e-06,0.0,-0.3999999999999986,treino,treino,treino,8605.0,0.6013359999997192
E01_L0030_TB240_B350_G500,especie,1.0,Angelim-amargoso,D40,TB240,3.0,3.5,5.0,0,40.0,15940,47.7,11.2,772,54.37660217285156,47.5,15.0,2.0,6.0,241.24679565429688,3.000000000000007,2.8896161781513032,flexao_tab,0.07389922570267776,False,ok,-0.721086805188608,-0.8607685326895668,-0.88037941095606,-9.117247310889878e-07,-0.013262176513671875,-0.3999999999999986,treino,treino,treino,8805.0,0.6664794000025722
E01_L0030_TB240_B400_G010,especie,1.0,Angelim-amargoso,D40,TB240,3.0,4.0,0.1,0,40.0,15940,47.7,11.2,772,32.46971368789673,30.0,8.841400146484375,4.0,9.0,90.04038174947104,3.7500000000000036,1.9485088809400666,flexao_tab,0.195067677516504,False,ok,-0.008011866352605536,-0.6393635745486315,-0.4405031582734177,-1.3472590118451793e-06,-0.6311798826853435,-0.2499999999999994,treino,treino,treino,10800.0,0.834324800001923
E01_L0030_TB240_B400_G050,especie,1.0,Angelim-amargoso,D40,TB240,3.0,4.0,0.5,0,40.0,15940,47.7,11.2,772,32.447303771972656,22.5,6.0323333740234375,5.0,12.0,59.44087028503417,2.7272727272727257,1.8918252077074187,flexao_tab,0.1932599835388805,False,ok,-0.007791186217049936,-0.6394622582466495,-0.44115949823881095,-2.1849587088933855e-06,-0.7541246929168701,-0.36363636363636287,treino,treino,treino,10705.0,0.786712200002512
E01_L0030_TB240_B400_G100,especie,1.0,Angelim-amargoso,D40,TB240,3.0,4.0,1.0,0,40.0,15940,47.7,11.2,772,32.51624298095703,22.5,6.0235595703125,5.0,12.0,59.35469627380371,2.7272727272727257,1.896153787271844,flexao_tab,0.19917945877868415,False,ok,-0.007738749503821134,-0.6388834552303724,-0.4382789463225244,-2.1314174922513252e-06,-0.7544521541595459,-0.36363636363636287,treino,treino,treino,10610.0,0.8057256000029156
E01_L0030_TB240_B400_G200,especie,1.0,Angelim-amargoso,D40,TB240,3.0,4.0,2.0,0,40.0,15940,47.7,11.2,772,32.65528869628906,27.5,5.4378509521484375,5.0,10.0,59.18088912963867,2.7777777777777777,1.8544486662325035,flexao_tab,0.21012647459750533,False,ok,-0.008267773849910127,-0.6379491680888114,-0.43336509809349605,-1.147055385876889e-06,-0.755112621307373,-0.3888888888888888,treino,treino,teste,10515.0,0.9014099999985774
