geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.8434670540988409,8,50
2,0.8563585808469559,10,100
3,0.8683556070214826,17,150
4,0.8734012817152249,24,200
5,0.8749074690483316,31,250
6,0.8913272235717736,37,300
7,0.8940784389828527,39,350
8,0.9011814741269469,41,400
9,0.9355558229088206,49,450
10,0.9569193272717068,50,500
11,0.9597088401307827,50,550
12,0.9621146995002521,50,600
13,0.9666829362569831,50,650
14,0.9755832639732561,48,700
15,0.9803245142795315,50,750
16,0.9852167746009304,50,800
17,0.9867468818913528,50,850
18,0.9904116437990027,50,900
19,0.9926603579918647,50,950
20,0.9943893468842542,50,1000
21,0.9951237144085001,50,1050
22,0.9955637177551202,50,1100
23,0.9965225521703471,50,1150
24,0.9974914634664139,50,1200
25,0.9980468213743585,50,1250
26,0.9988869679798961,50,1300
27,1.0000793918142674,50,1350
28,0.9999686793645883,50,1400
29,1.0008602738216776,50,1450
30,1.0014775240350258,50,1500
31,1.0013306168356104,50,1550
32,1.0036650915552336,50,1600
33,1.0040678013286521,50,1650
34,1.004839101313446,50,1700
35,1.005008800601011,50,1750
36,1.006678448780236,50,1800
37,1.0070248059731832,50,1850
38,1.0065445122517447,50,1900
39,1.0065871158110726,50,1950
40,1.0079388861777063,50,2000
41,1.008665862489196,50,2050
42,1.0083992047842576,50,2100
43,1.0092539985675297,50,2150
44,1.0093517585013463,50,2200
45,1.0098912561092965,50,2250
46,1.0098777170229734,50,2300
47,1.010794566149382,50,2350
48,1.0093469299732791,50,2400
49,1.0104732195887276,50,2450
50,1.0111960628938819,50,2500
51,1.011770055744325,50,2550
52,1.012153325254153,50,2600
53,1.0124978662826778,50,2650
54,1.012351207058144,50,2700
55,1.012455693562807,50,2750
56,1.0122231115373816,50,2800
57,1.0127705835814715,50,2850
58,1.01344926487106,50,2900
59,1.0137748038393581,50,2950
60,1.0137589390498647,50,3000
61,1.0140478934284949,50,3050
62,1.0143986327131367,50,3100
63,1.0140161499583926,50,3150
64,1.0137673054552587,50,3200
65,1.013825346561439,50,3250
66,1.0146276606342435,50,3300
67,1.0150818041409229,50,3350
68,1.0160473679834772,50,3400
69,1.0156150801582196,50,3450
70,1.0148896669083138,50,3500
71,1.0149460811345183,50,3550
72,1.0150197755268453,50,3600
73,1.01474792599463,50,3650
74,1.0154027590509451,50,3700
75,1.0159526026416494,50,3750
76,1.0157821291013813,50,3800
77,1.016517868550713,50,3850
78,1.0161814851759632,50,3900
79,1.0164410311829026,50,3950
80,1.0167836358621416,50,4000
81,1.017430112830148,50,4050
82,1.0178083078353892,50,4100
83,1.017465832133984,50,4150
84,1.017984199913104,50,4200
85,1.0183275751115644,50,4250
86,1.0184889389861491,50,4300
87,1.0198695146987207,50,4350
88,1.0195737980756485,50,4400
89,1.0194074865123575,50,4450
90,1.0192770247064038,50,4500
91,1.0187038063147853,50,4550
92,1.0189594704287042,50,4600
93,1.0199483003903749,50,4650
94,1.0200492251674445,50,4700
95,1.019514056623281,50,4750
96,1.0194054019941146,50,4800
97,1.0195713979774166,50,4850
98,1.0193954417967963,50,4900
99,1.0197257007349947,50,4950
100,1.0194024485281012,50,5000
101,1.0190423411764702,50,5050
102,1.019445031799305,50,5100
103,1.0196809548993033,50,5150
104,1.0190666855182466,50,5200
105,1.0184351942692258,50,5250
106,1.0184856597430032,50,5300
107,1.0189729791176103,50,5350
108,1.0185825499953836,50,5400
109,1.018936925336037,50,5450
110,1.0191270770140497,50,5500
111,1.0193028304795642,50,5550
112,1.0188807130821498,50,5600
113,1.0197190553973854,50,5650
114,1.0196954242967378,50,5700
115,1.0195370244884256,50,5750
116,1.01926412220245,50,5800
117,1.0197201199105346,50,5850
118,1.0196774604019558,50,5900
119,1.0199457690319675,50,5950
120,1.0198114455786154,50,6000
121,1.0199983692662875,50,6050
122,1.0203485750256611,50,6100
123,1.0215092097015086,50,6150
124,1.0211258965438637,50,6200
125,1.0208163213811254,50,6250
126,1.020745255409895,50,6300
127,1.0211824359658732,50,6350
128,1.0215317679203595,50,6400
129,1.0213833744763132,50,6450
130,1.0213880179392232,50,6500
131,1.0219079372673634,50,6550
132,1.0214148815268809,50,6600
133,1.0203289077406479,50,6650
134,1.0209969414288258,50,6700
135,1.0209286625987606,50,6750
136,1.021207179152785,50,6800
137,1.0214227074830506,50,6850
138,1.0210420674811578,50,6900
139,1.0215080969078665,50,6950
140,1.021502234694771,50,7000
141,1.0218268147284233,50,7050
142,1.0216877303640803,50,7100
143,1.0212731090857976,50,7150
144,1.0208904418802258,50,7200
145,1.0210022203918379,50,7250
146,1.020865700853368,50,7300
147,1.0213976831175824,50,7350
148,1.0213030794093234,50,7400
149,1.0213159602995403,50,7450
150,1.0216961087860035,50,7500
151,1.0216888810207858,50,7550
152,1.0213327021464615,50,7600
153,1.0218158314155659,50,7650
154,1.0217956471157832,50,7700
155,1.0218702405656632,50,7750
156,1.0218895635091396,50,7800
157,1.0212896229360406,50,7850
158,1.0212458079523077,50,7900
159,1.021221818901468,50,7950
160,1.0211147742062276,50,8000
161,1.0214053630903015,50,8050
162,1.0218773112527375,50,8100
163,1.0217992297518161,50,8150
164,1.0216208258097614,50,8200
165,1.0217515416338254,50,8250
166,1.0223095680553622,50,8300
167,1.0222890691727915,50,8350
168,1.0222209815383132,50,8400
169,1.0218753423669336,50,8450
170,1.0217198936265113,50,8500
171,1.0222987197280606,50,8550
172,1.021900931163936,50,8600
173,1.0223131387194455,50,8650
174,1.0224479198264815,50,8700
175,1.0221899735848954,50,8750
176,1.0222908872421526,50,8800
177,1.0230154736924206,50,8850
178,1.0222174997834612,50,8900
179,1.022466456230212,50,8950
180,1.022680159923796,50,9000
181,1.0228233640923563,50,9050
182,1.0225062506111116,50,9100
183,1.0219075313651185,50,9150
184,1.0222793216517998,50,9200
185,1.021904087587463,50,9250
186,1.0218290473448692,50,9300
187,1.0217229149342761,50,9350
188,1.0218890447716158,50,9400
189,1.0219685852764626,50,9450
190,1.022197306472611,50,9500
