geracao,hipervolume,n_solucoes,n_avaliacoes
1,0.7930694675138272,6,50
2,0.8233616494974557,13,100
3,0.8597230854558908,11,150
4,0.8614308120431164,17,200
5,0.8691700270451082,21,250
6,0.8778267383360461,26,300
7,0.8861959964425876,33,350
8,0.889575843843169,39,400
9,0.8940871915890931,40,450
10,0.902280708522607,44,500
11,0.9075047984000502,48,550
12,0.9140440680500415,44,600
13,0.9290230338152441,49,650
14,0.9304178502636296,50,700
15,0.9327771270445693,50,750
16,0.9392887737262989,50,800
17,0.9420189133818109,50,850
18,0.9432691988929607,50,900
19,0.9435937259268892,50,950
20,0.9454385852196803,50,1000
21,0.9466891195579374,50,1050
22,0.9467965443709884,50,1100
23,0.9469688640960973,50,1150
24,0.9503151791708393,50,1200
25,0.950561092543,50,1250
26,0.9519973252897163,50,1300
27,0.9529166638997494,50,1350
28,0.9541488673769013,50,1400
29,0.9548680876553766,50,1450
30,0.9555588773687739,50,1500
31,0.9564691292841213,50,1550
32,0.9577641518740372,50,1600
33,0.9577443524970045,50,1650
34,0.960494641894422,50,1700
35,0.9624763460224646,50,1750
36,0.9625469982981361,50,1800
37,0.9647954440707396,50,1850
38,0.9655016018617232,50,1900
39,0.9653994372223988,50,1950
40,0.9673808026249855,50,2000
41,0.9678244199530651,50,2050
42,0.9679603913245227,50,2100
43,0.9682494218049535,50,2150
44,0.9692715466469844,50,2200
45,0.9685413103836109,50,2250
46,0.9690491840211538,50,2300
47,0.9703957464832113,50,2350
48,0.9704784352642323,50,2400
49,0.9711582571319408,50,2450
50,0.9718703417882618,50,2500
51,0.9724185829060208,50,2550
52,0.9730240293363501,50,2600
53,0.9735625128878065,50,2650
54,0.9739399779512923,50,2700
55,0.9737816495012868,50,2750
56,0.9736238736895138,50,2800
57,0.9730780393731818,50,2850
58,0.9735597842243541,50,2900
59,0.9747932087463136,50,2950
60,0.9746251286987355,50,3000
61,0.974862672202959,50,3050
62,0.9753709674783042,50,3100
63,0.977170143324581,50,3150
64,0.9772004967883896,50,3200
65,0.9782280035954977,50,3250
66,0.9780847903730158,50,3300
67,0.9774113779009348,50,3350
68,0.9778414238033024,50,3400
69,0.9785858685481762,50,3450
70,0.9788483939497399,50,3500
71,0.9794235113239829,50,3550
72,0.9795171705460363,50,3600
73,0.9794948862373819,50,3650
74,0.9789387693530568,50,3700
75,0.9788442489811965,50,3750
76,0.9794261448649939,50,3800
77,0.9794835924448795,50,3850
78,0.9799659635744392,50,3900
79,0.9801930685670445,50,3950
80,0.9806070595461193,50,4000
81,0.9806096111987846,50,4050
82,0.9810831394180978,50,4100
83,0.9810971237034266,50,4150
84,0.9812068492211776,50,4200
85,0.9811763151279012,50,4250
86,0.9808838296984485,50,4300
87,0.9810278019968334,50,4350
88,0.9800143154597122,50,4400
89,0.9796169441690247,50,4450
90,0.979227819582405,50,4500
91,0.9793691849476289,50,4550
92,0.9791661274302896,50,4600
93,0.9795070845073948,50,4650
94,0.9801264052908871,50,4700
95,0.9799760451962036,50,4750
96,0.9801246470892829,50,4800
97,0.9803152841040315,50,4850
98,0.9814165701627442,50,4900
99,0.9819440205025368,50,4950
100,0.9819553243820034,50,5000
101,0.9823494936693113,50,5050
102,0.9823249306772306,50,5100
103,0.9825451691821704,50,5150
104,0.9826849396636986,50,5200
105,0.9830083756953139,50,5250
106,0.9827091093696827,50,5300
107,0.9828965417594093,50,5350
108,0.982575343935825,50,5400
109,0.9825458229668024,50,5450
110,0.9823988512227504,50,5500
111,0.982165381215336,50,5550
112,0.9826614928694489,50,5600
113,0.9823699900726108,50,5650
114,0.9824922836937071,50,5700
115,0.9833168378879203,50,5750
116,0.9832732327533075,50,5800
117,0.9830884359556891,50,5850
118,0.983330040687114,50,5900
119,0.983459481476749,50,5950
120,0.9839062784490726,50,6000
121,0.9847512668082055,50,6050
122,0.9848049327164067,50,6100
123,0.9846840146807291,50,6150
124,0.9848874442277407,50,6200
125,0.9850780643237333,50,6250
126,0.9854058243243693,50,6300
127,0.9855546224318376,50,6350
128,0.9852581910520022,50,6400
129,0.9850332717115627,50,6450
130,0.9850701666985223,50,6500
131,0.9851773308888571,50,6550
132,0.9853708772886615,50,6600
133,0.9850500392916126,50,6650
134,0.9846286840304755,50,6700
135,0.9844861694421317,50,6750
136,0.9844457833618849,50,6800
137,0.984477409855422,50,6850
138,0.9844877841046988,50,6900
139,0.9839923642308389,50,6950
140,0.983969304968181,50,7000
141,0.9843766926729909,50,7050
142,0.9842601577092507,50,7100
143,0.9841773594801005,50,7150
144,0.9839112196842849,50,7200
145,0.9847085242979796,50,7250
146,0.9842783296347046,50,7300
147,0.9849867590141352,50,7350
148,0.9852761242414649,50,7400
149,0.98548392863342,50,7450
150,0.9853148945169243,50,7500
151,0.9850167254398688,50,7550
152,0.9852210868143968,50,7600
153,0.9854576770556632,50,7650
154,0.9855550871864026,50,7700
155,0.9852594732916184,50,7750
156,0.9852252836736336,50,7800
157,0.9851989141692906,50,7850
158,0.9849503058765271,50,7900
159,0.9854345346212567,50,7950
160,0.9854774598848343,50,8000
161,0.9850073554866382,50,8050
162,0.9853113276681947,50,8100
163,0.9854282558046277,50,8150
164,0.9854469356264178,50,8200
165,0.9856671996481022,50,8250
166,0.9854601683584281,50,8300
